pair
BTC_ETH
BTC_BNB
BTC_SOL
BTC_XRP
BTC_ADA
BTC_DOGE
BTC_AVAX
BTC_DOT
BTC_MATIC
BTC_LINK
ETH_BNB
ETH_SOL
ETH_XRP
ETH_ADA
ETH_DOGE
BNB_SOL
BNB_XRP
SOL_XRP
SOL_ADA
XRP_ADA
