pair
SUNPHARMA_NTPC
NTPC_INDUSINDBK
INDUSINDBK_BOSCHLTD
BOSCHLTD_DABUR
DABUR_HINDCOPPER
HINDCOPPER_PIDILITIND
PIDILITIND_ITC
ITC_ESCORTS
ESCORTS_BIOCON
BIOCON_CIPLA
CIPLA_PIIND
PIIND_BAJFINANCE
BAJFINANCE_HAVELLS
HAVELLS_INFY
INFY_CUMMINSIND
CUMMINSIND_DALBHARAT
DALBHARAT_TECHM
TECHM_TITAN
TITAN_HDFCAMC
HDFCAMC_LUPIN
LUPIN_EICHERMOT
EICHERMOT_TORNTPOWER
TORNTPOWER_PETRONET
PETRONET_NESTLEIND
NESTLEIND_ADANIENT
ADANIENT_BRITANNIA
BRITANNIA_WIPRO
WIPRO_WHIRLPOOL
WHIRLPOOL_INDIAMART
INDIAMART_SRF
SRF_BANKBARODA
BANKBARODA_BANDHANBNK
BANDHANBNK_BALKRISIND
BALKRISIND_VOLTAS
VOLTAS_DEEPAKNTR
DEEPAKNTR_COALINDIA
COALINDIA_ATUL
ATUL_ULTRACEMCO
ULTRACEMCO_BAJAJ-AUTO
BAJAJ-AUTO_COLPAL
COLPAL_PNB
PNB_ASIANPAINT
ASIANPAINT_GRASIM
GRASIM_IGL
IGL_TATAPOWER
TATAPOWER_DLF
DLF_HINDALCO
HINDALCO_BATAINDIA
BATAINDIA_MARUTI
MARUTI_SBICARD
SBICARD_SUNTV
SUNTV_GLENMARK
GLENMARK_ICICIBANK
ICICIBANK_IDFCFIRSTB
RELIANCE_TVSMOTOR
TVSMOTOR_MARICO
MARICO_BAJAJFINSV
CANBK_INDHOTEL
INDHOTEL_GAIL
GAIL_GODREJCP
GODREJCP_M&M
M&M_MOTHERSON
MOTHERSON_PVRINOX
PVRINOX_PAGEIND
PAGEIND_AMBUJACEM
AMBUJACEM_ABB
ABB_GUJGASLTD
GUJGASLTD_DIVISLAB
DIVISLAB_ABBOTINDIA
ABBOTINDIA_KOTAKBANK
KOTAKBANK_AUBANK
AUBANK_GRINDWELL
GRINDWELL_MUTHOOTFIN
MUTHOOTFIN_TRENT
TRENT_LT
LT_MPHASIS
MPHASIS_JINDALSTEL
JINDALSTEL_BEL
BEL_APOLLOHOSP
APOLLOHOSP_HINDUNILVR
HINDUNILVR_RELAXO
RELAXO_DRREDDY
DRREDDY_SBIN
SBIN_NAVINFLUOR
NAVINFLUOR_ALKEM
ALKEM_ICICIPRULI
ICICIPRULI_HEROMOTOCO
HEROMOTOCO_BPCL
BPCL_ALKYLAMINE
ALKYLAMINE_VEDL
ASTRAL_BHARTIARTL
BHARTIARTL_FEDERALBNK
FEDERALBNK_ZYDUSLIFE
ZYDUSLIFE_ADANIPORTS
ADANIPORTS_HDFCBANK
HDFCBANK_MANAPPURAM
MANAPPURAM_CHOLAFIN
CHOLAFIN_HCLTECH
HCLTECH_POWERGRID
POWERGRID_POLYCAB
POLYCAB_IRCTC
IRCTC_SAIL
SAIL_TORNTPHARM
TORNTPHARM_TATACONSUM
TATACONSUM_LALPATHLAB
LALPATHLAB_TATASTEEL
TATASTEEL_ONGC
ONGC_CONCOR
CONCOR_HDFCLIFE
HDFCLIFE_ICICIGI
ICICIGI_AXISBANK
AXISBANK_OBEROIRLTY
OBEROIRLTY_UPL
UPL_ZEEL
